
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J308_3.RCP          53          53       53       0.0%         32           0.169
J308_4.RCP          48          48       48       0.0%         32           0.156
J308_5.RCP          58          58       58       0.0%         32           0.159
J308_6.RCP          47          47       47       0.0%         32           0.165
J308_7.RCP          41          41       41       0.0%         32           0.162
J308_8.RCP          51          51       51       0.0%         32           0.161
J308_9.RCP          39          39       39       0.0%         32           0.167
J309_1.RCP          84          55       83       1.2%      13422          60.030
J309_10.RCP         89          63       88       1.1%      13843          60.066
J309_2.RCP         106          45       92      15.2%      14902          60.083
J309_3.RCP          79          48       68      16.2%      11844          60.105
J309_4.RCP          76          52       71       7.0%      13932          60.116
J309_5.RCP          73          53       70       4.3%      14056          60.089
J309_6.RCP          65          47       59      10.2%      14613          60.094
J309_7.RCP          65          41       63       3.2%      14494          60.092
J309_8.RCP          92          54       91       1.1%      12855          60.074
J309_9.RCP          68          37       63       7.9%      13299          60.072

Average Summary
Instance  Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
-----------------------------------------------------------------------------
Average     60.429      52.777   58.992     1.964%       6728          29.391

Comparison Summary
Instances total: 480
Solved: 339/480 (70.6%)
Mean gap to optimal: 1.96%

Configuration
  branching order    : policy
  branching scheme   : serial
  search strategy    : ubs
  lower bound        : lb_cp
  dominance          : set_based
  optimal baseline   : data/baseline/j30_opt.json
