
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J308_6.RCP          47          47       47       0.0%           0.058
J308_7.RCP          41          41       41       0.0%           0.039
J308_8.RCP          51          51       51       0.0%           0.035
J308_9.RCP          39          39       39       0.0%           0.046
J309_1.RCP          97          55       83      16.9%          60.024
J309_10.RCP         99          63       88      12.5%          60.053
J309_2.RCP          97          45       92       5.4%          60.124
J309_3.RCP          97          48       68      42.6%          60.065
J309_4.RCP          75          52       71       5.6%          60.071
J309_5.RCP          70          53       70       0.0%          60.082
J309_6.RCP          65          47       59      10.2%          60.149
J309_7.RCP          68          41       63       7.9%          60.168
J309_8.RCP         101          54       91      11.0%          60.080
J309_9.RCP          71          37       63      12.7%          60.088

Average Summary
Instance  Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
------------------------------------------------------------------
Average     61.106      52.904   58.992     2.912%          27.493

Comparison Summary
Instances total: 480
Solved: 322/480 (67.1%)
Mean gap to optimal: 2.91%
Median gap to optimal: 0.00%
Note: branching order used = lower_bound
Note: search strategy used = ubs

Note: lower bound used = lb_cp
Note: dominance used = all
Note: optimal baseline JSON used = data/baseline/j30_opt.json
