
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J3047_10.RCP        61          57       60       1.7%      12254          60.037
J3047_2.RCP         59          59       59       0.0%         32           0.206
J3047_3.RCP         55          55       55       0.0%         32           0.153
J3047_4.RCP         49          49       49       0.0%       6140          27.519
J3047_5.RCP         47          47       47       0.0%      12917          53.250
J3047_6.RCP         56          50       53       5.7%      13492          60.107
J3047_7.RCP         66          60       66       0.0%      14036          60.109
J3047_8.RCP         48          48       48       0.0%        238           0.988
J3047_9.RCP         65          65       65       0.0%         32           0.137
J3048_1.RCP         63          63       63       0.0%         32           0.125
J3048_10.RCP        54          54       54       0.0%         32           0.138
J3048_2.RCP         54          54       54       0.0%         32           0.130
J3048_3.RCP         50          50       50       0.0%         32           0.134
J3048_4.RCP         57          57       57       0.0%         32           0.129
J3048_5.RCP         58          58       58       0.0%         32           0.132
J3048_6.RCP         58          58       58       0.0%         32           0.118
J3048_7.RCP         55          55       55       0.0%         32           0.128
J3048_8.RCP         44          44       44       0.0%         32           0.127
J3048_9.RCP         59          59       59       0.0%         32           0.133
J304_1.RCP          49          49       49       0.0%         32           0.122
J304_10.RCP         48          48       48       0.0%         32           0.124
J304_2.RCP          60          60       60       0.0%         32           0.113
J304_3.RCP          47          47       47       0.0%         32           0.138
J304_4.RCP          57          57       57       0.0%         32           0.119
J304_5.RCP          59          59       59       0.0%         32           0.143
J304_6.RCP          45          45       45       0.0%         32           0.123
J304_7.RCP          56          56       56       0.0%         32           0.131
J304_8.RCP          55          55       55       0.0%         32           0.120
J304_9.RCP          38          38       38       0.0%         32           0.146
J305_1.RCP          54          41       53       1.9%      13504          60.043
J305_10.RCP         80          56       70      14.3%      13723          60.070
J305_2.RCP          94          56       82      14.6%      13954          60.075
J305_3.RCP          89          54       76      17.1%      12648          60.066
J305_4.RCP          70          43       63      11.1%      12904          60.098
J305_5.RCP          79          58       76       3.9%      14792          60.062
J305_6.RCP          68          47       64       6.2%      13077          60.075
J305_7.RCP          80          43       76       5.3%      13862          60.064
J305_8.RCP          73          53       67       9.0%      14571          60.079
J305_9.RCP          50          38       49       2.0%      14368          60.083
J306_1.RCP          60          54       59       1.7%      13997          60.093
J306_10.RCP         66          58       61       8.2%      13986          60.121
J306_2.RCP          53          50       51       3.9%      12492          60.101
J306_3.RCP          54          45       48      12.5%      13476          60.116
J306_4.RCP          47          36       42      11.9%      13820          60.072
J306_5.RCP          67          57       67       0.0%      14541          60.100
J306_6.RCP          37          35       37       0.0%      13231          60.094
J306_7.RCP          46          43       46       0.0%      13055          60.115
J306_8.RCP          41          39       39       5.1%      13760          60.097
J306_9.RCP          53          48       51       3.9%      14341          60.079
J307_1.RCP          55          55       55       0.0%         32           0.187
J307_10.RCP         49          43       49       0.0%      13582          60.027
J307_2.RCP          42          42       42       0.0%         32           0.182
J307_3.RCP          42          42       42       0.0%       7529          32.223
J307_4.RCP          44          44       44       0.0%      11229          48.785
J307_5.RCP          45          41       44       2.3%      13972          60.059
J307_6.RCP          35          35       35       0.0%         32           0.180
J307_7.RCP          50          50       50       0.0%       1369           6.298
J307_8.RCP          44          43       44       0.0%      12332          60.043
J307_9.RCP          60          56       60       0.0%      14653          60.081
J308_1.RCP          44          44       44       0.0%         32           0.175
J308_10.RCP         67          67       67       0.0%         32           0.128
J308_2.RCP          51          51       51       0.0%         32           0.139
J308_3.RCP          53          53       53       0.0%         32           0.154
J308_4.RCP          48          48       48       0.0%         32           0.138
J308_5.RCP          58          58       58       0.0%         32           0.123
J308_6.RCP          47          47       47       0.0%         32           0.147
J308_7.RCP          41          41       41       0.0%         32           0.149
J308_8.RCP          51          51       51       0.0%         32           0.135
J308_9.RCP          39          39       39       0.0%         32           0.148
J309_1.RCP          84          55       83       1.2%      12892          60.032
J309_10.RCP         89          63       88       1.1%      11338          60.063
J309_2.RCP         105          45       92      14.1%      14607          60.064
J309_3.RCP          78          48       68      14.7%      13797          60.068
J309_4.RCP          72          52       71       1.4%      13899          60.093
J309_5.RCP          80          53       70      14.3%      13908          60.085
J309_6.RCP          68          47       59      15.3%      14474          60.097
J309_7.RCP          65          41       63       3.2%      14106          60.081
J309_8.RCP          97          54       91       6.6%      13273          60.111
J309_9.RCP          70          37       63      11.1%      14751          60.073

Average Summary
